taxon,level,source_repo,source_detail,data_provenance,n_study_conditions_detected,candidate_compartment,note,contamination_flags,consortium_candidate
Cutibacterium acnes,species,Microbiome_of_seedlings_in_space,"real MetaPhlAn taxonomic profiling, UpSet input across OSDR-37/120/522/OSD-217",real_sequencing,15,uncertain,"human skin commensal; likely handling/cleanroom signal, not a plant colonizer",kitome_match(Salter2014:Actinobacteria),False
Herbaspirillum huttiense,species,Microbiome_of_seedlings_in_space,"real MetaPhlAn taxonomic profiling, UpSet input across OSDR-37/120/522/OSD-217",real_sequencing,9,nitrifying_bioreactor,genuine diazotrophic plant endophyte genus (real N2-fixing capability),kitome_match(Salter2014:Betaproteobacteria),False
Ralstonia pickettii,species,Microbiome_of_seedlings_in_space,"real MetaPhlAn taxonomic profiling, UpSet input across OSDR-37/120/522/OSD-217",real_sequencing,8,plant_host_risk,contains real phytopathogenic species; also a known ultrapure-water/lab contaminant genus,kitome_match(Salter2014:Betaproteobacteria),False
Cloacibacterium caeni,species,Microbiome_of_seedlings_in_space,"real MetaPhlAn taxonomic profiling, UpSet input across OSDR-37/120/522/OSD-217",real_sequencing,8,digester_or_nitrifying,genus first described from wastewater/anaerobic digester sludge,,True
Pseudomonas chengduensis,species,Microbiome_of_seedlings_in_space,"real MetaPhlAn taxonomic profiling, UpSet input across OSDR-37/120/522/OSD-217",real_sequencing,8,digester_or_nitrifying,"metabolically versatile genus; some species genuine plant-growth-promoters, others opportunists",kitome_match(Salter2014:Gammaproteobacteria),False
Pseudomonas fluorescens,species,Microbiome_of_seedlings_in_space,"real MetaPhlAn taxonomic profiling, UpSet input across OSDR-37/120/522/OSD-217",real_sequencing,8,digester_or_nitrifying,"metabolically versatile genus; some species genuine plant-growth-promoters, others opportunists",kitome_match(Salter2014:Gammaproteobacteria),False
Curvibacter gracilis,species,Microbiome_of_seedlings_in_space,"real MetaPhlAn taxonomic profiling, UpSet input across OSDR-37/120/522/OSD-217",real_sequencing,8,digester_or_nitrifying,environmental freshwater genus,kitome_match(Salter2014:Betaproteobacteria),False
Escherichia coli,species,Microbiome_of_seedlings_in_space,"real MetaPhlAn taxonomic profiling, UpSet input across OSDR-37/120/522/OSD-217",real_sequencing,7,uncertain,human/animal gut commensal; likely handling signal,kitome_match(Salter2014:Gammaproteobacteria);nasa_cleanroom_match(Bashir2016),False
Acidovorax temperans,species,Microbiome_of_seedlings_in_space,"real MetaPhlAn taxonomic profiling, UpSet input across OSDR-37/120/522/OSD-217",real_sequencing,7,digester_or_nitrifying,"environmental/freshwater genus, denitrification-capable in some species",kitome_match(Salter2014:Betaproteobacteria),False
Agrobacterium tumefaciens,species,Microbiome_of_seedlings_in_space,"real MetaPhlAn taxonomic profiling, UpSet input across OSDR-37/120/522/OSD-217",real_sequencing,7,plant_host_risk,contains real phytopathogenic species (e.g. crown gall); crop risk,,True
GGB2722 SGB3663,species,Microbiome_of_seedlings_in_space,"real MetaPhlAn taxonomic profiling, UpSet input across OSDR-37/120/522/OSD-217",real_sequencing,5,uncertain,no genus-level literature read applied yet,,True
