taxon,level,source_repo,source_detail,data_provenance,n_study_conditions_detected,candidate_compartment,note
Cutibacterium acnes,species,Microbiome_of_seedlings_in_space,"real MetaPhlAn taxonomic profiling, UpSet input across OSDR-37/120/522/OSD-217",real_sequencing,15,uncertain,"human skin commensal; likely handling/cleanroom signal, not a plant colonizer"
Herbaspirillum huttiense,species,Microbiome_of_seedlings_in_space,"real MetaPhlAn taxonomic profiling, UpSet input across OSDR-37/120/522/OSD-217",real_sequencing,9,nitrifying_bioreactor,genuine diazotrophic plant endophyte genus (real N2-fixing capability)
Ralstonia pickettii,species,Microbiome_of_seedlings_in_space,"real MetaPhlAn taxonomic profiling, UpSet input across OSDR-37/120/522/OSD-217",real_sequencing,8,plant_host_risk,contains real phytopathogenic species; also a known ultrapure-water/lab contaminant genus
Cloacibacterium caeni,species,Microbiome_of_seedlings_in_space,"real MetaPhlAn taxonomic profiling, UpSet input across OSDR-37/120/522/OSD-217",real_sequencing,8,digester_or_nitrifying,genus first described from wastewater/anaerobic digester sludge
Pseudomonas chengduensis,species,Microbiome_of_seedlings_in_space,"real MetaPhlAn taxonomic profiling, UpSet input across OSDR-37/120/522/OSD-217",real_sequencing,8,digester_or_nitrifying,"metabolically versatile genus; some species genuine plant-growth-promoters, others opportunists"
Pseudomonas fluorescens,species,Microbiome_of_seedlings_in_space,"real MetaPhlAn taxonomic profiling, UpSet input across OSDR-37/120/522/OSD-217",real_sequencing,8,digester_or_nitrifying,"metabolically versatile genus; some species genuine plant-growth-promoters, others opportunists"
Curvibacter gracilis,species,Microbiome_of_seedlings_in_space,"real MetaPhlAn taxonomic profiling, UpSet input across OSDR-37/120/522/OSD-217",real_sequencing,8,digester_or_nitrifying,environmental freshwater genus
Escherichia coli,species,Microbiome_of_seedlings_in_space,"real MetaPhlAn taxonomic profiling, UpSet input across OSDR-37/120/522/OSD-217",real_sequencing,7,uncertain,human/animal gut commensal; likely handling signal
Acidovorax temperans,species,Microbiome_of_seedlings_in_space,"real MetaPhlAn taxonomic profiling, UpSet input across OSDR-37/120/522/OSD-217",real_sequencing,7,digester_or_nitrifying,"environmental/freshwater genus, denitrification-capable in some species"
Agrobacterium tumefaciens,species,Microbiome_of_seedlings_in_space,"real MetaPhlAn taxonomic profiling, UpSet input across OSDR-37/120/522/OSD-217",real_sequencing,7,plant_host_risk,contains real phytopathogenic species (e.g. crown gall); crop risk
GGB2722 SGB3663,species,Microbiome_of_seedlings_in_space,"real MetaPhlAn taxonomic profiling, UpSet input across OSDR-37/120/522/OSD-217",real_sequencing,5,uncertain,no genus-level literature read applied yet
Acinetobacter junii,species,Microbiome_of_seedlings_in_space,"real MetaPhlAn taxonomic profiling, UpSet input across OSDR-37/120/522/OSD-217",real_sequencing,5,uncertain,"environmental genus, some species opportunistic human pathogens"
Cupriavidus metallidurans,species,Microbiome_of_seedlings_in_space,"real MetaPhlAn taxonomic profiling, UpSet input across OSDR-37/120/522/OSD-217",real_sequencing,4,digester_or_nitrifying,"metabolically versatile, some species used industrially for bioplastic/waste processing"
Bradyrhizobium viridifuturi,species,Microbiome_of_seedlings_in_space,"real MetaPhlAn taxonomic profiling, UpSet input across OSDR-37/120/522/OSD-217",real_sequencing,3,nitrifying_bioreactor,genuine diazotrophic rhizobial genus (real N2-fixing capability)
Ralstonia insidiosa,species,Microbiome_of_seedlings_in_space,"real MetaPhlAn taxonomic profiling, UpSet input across OSDR-37/120/522/OSD-217",real_sequencing,3,plant_host_risk,contains real phytopathogenic species; also a known ultrapure-water/lab contaminant genus
Rhodococcus fascians,species,Microbiome_of_seedlings_in_space,"real MetaPhlAn taxonomic profiling, UpSet input across OSDR-37/120/522/OSD-217",real_sequencing,2,plant_host_risk,R. fascians causes real fasciation disease in plants; crop risk
Delftia acidovorans,species,Microbiome_of_seedlings_in_space,"real MetaPhlAn taxonomic profiling, UpSet input across OSDR-37/120/522/OSD-217",real_sequencing,2,uncertain,no genus-level literature read applied yet
Brevundimonas SGB99609,species,Microbiome_of_seedlings_in_space,"real MetaPhlAn taxonomic profiling, UpSet input across OSDR-37/120/522/OSD-217",real_sequencing,2,uncertain,no genus-level literature read applied yet
Neisseria subflava,species,Microbiome_of_seedlings_in_space,"real MetaPhlAn taxonomic profiling, UpSet input across OSDR-37/120/522/OSD-217",real_sequencing,2,uncertain,human oral commensal; likely handling signal
Amycolatopsis acidicola,species,Microbiome_of_seedlings_in_space,"real MetaPhlAn taxonomic profiling, UpSet input across OSDR-37/120/522/OSD-217",real_sequencing,1,uncertain,no genus-level literature read applied yet
Tepidimonas fonticaldi,species,Microbiome_of_seedlings_in_space,"real MetaPhlAn taxonomic profiling, UpSet input across OSDR-37/120/522/OSD-217",real_sequencing,1,uncertain,no genus-level literature read applied yet
Dysgonamonadaceae bacterium,species,Microbiome_of_seedlings_in_space,"real MetaPhlAn taxonomic profiling, UpSet input across OSDR-37/120/522/OSD-217",real_sequencing,1,uncertain,no genus-level literature read applied yet
Porphyromonas canoris,species,Microbiome_of_seedlings_in_space,"real MetaPhlAn taxonomic profiling, UpSet input across OSDR-37/120/522/OSD-217",real_sequencing,1,uncertain,human oral commensal; likely handling signal
Porphyromonas gulae,species,Microbiome_of_seedlings_in_space,"real MetaPhlAn taxonomic profiling, UpSet input across OSDR-37/120/522/OSD-217",real_sequencing,1,uncertain,human oral commensal; likely handling signal
Aquirufa antheringensis,species,Microbiome_of_seedlings_in_space,"real MetaPhlAn taxonomic profiling, UpSet input across OSDR-37/120/522/OSD-217",real_sequencing,1,uncertain,no genus-level literature read applied yet
Moraxella osloensis,species,Microbiome_of_seedlings_in_space,"real MetaPhlAn taxonomic profiling, UpSet input across OSDR-37/120/522/OSD-217",real_sequencing,1,uncertain,no genus-level literature read applied yet
Spirosoma rigui,species,Microbiome_of_seedlings_in_space,"real MetaPhlAn taxonomic profiling, UpSet input across OSDR-37/120/522/OSD-217",real_sequencing,1,uncertain,no genus-level literature read applied yet
GGB43920 SGB61282,species,Microbiome_of_seedlings_in_space,"real MetaPhlAn taxonomic profiling, UpSet input across OSDR-37/120/522/OSD-217",real_sequencing,1,uncertain,no genus-level literature read applied yet
Rothia mucilaginosa,species,Microbiome_of_seedlings_in_space,"real MetaPhlAn taxonomic profiling, UpSet input across OSDR-37/120/522/OSD-217",real_sequencing,1,uncertain,human oral commensal; likely handling signal
Actinomyces sp HMSC035G02,species,Microbiome_of_seedlings_in_space,"real MetaPhlAn taxonomic profiling, UpSet input across OSDR-37/120/522/OSD-217",real_sequencing,1,uncertain,human oral commensal; likely handling signal
Polynucleobacter sp MWH Aus1W21,species,Microbiome_of_seedlings_in_space,"real MetaPhlAn taxonomic profiling, UpSet input across OSDR-37/120/522/OSD-217",real_sequencing,1,uncertain,no genus-level literature read applied yet
Streptococcus infantis,species,Microbiome_of_seedlings_in_space,"real MetaPhlAn taxonomic profiling, UpSet input across OSDR-37/120/522/OSD-217",real_sequencing,1,uncertain,human oral/skin commensal; likely handling signal
